epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.622,2.35277,3.56401,1.44876,0.40451,0.36509,0.34015,0.15931,1.46161,2.63747,1.06719,0.000330218,0.000330218,0.000330218
2,55.1881,1.5929,2.06615,1.07846,0.61758,0.61284,0.65594,0.31501,1.5156,1.8849,1.07162,0.000647129,0.000647129,0.000647129
3,61.6966,1.45344,1.6735,1.04996,0.79644,0.69561,0.79383,0.44547,1.34025,1.53103,1.02398,0.000947539,0.000947539,0.000947539
4,68.369,1.3907,1.43075,1.02597,0.73896,0.72037,0.79123,0.31001,1.86711,1.56835,1.14153,0.00092575,0.00092575,0.00092575
5,75.2204,1.37049,1.32289,1.02094,0.83441,0.8005,0.872,0.4505,1.46738,1.25473,1.04951,0.000901,0.000901,0.000901
6,82.1189,1.32074,1.19275,0.99994,0.73063,0.68686,0.68207,0.19123,2.27178,1.5525,1.3341,0.00087625,0.00087625,0.00087625
7,88.7297,1.28953,1.12777,0.9931,0.87689,0.86585,0.92796,0.57121,1.21731,1.00422,0.99407,0.0008515,0.0008515,0.0008515
8,95.4542,1.28843,1.10077,0.99471,0.87887,0.8563,0.90812,0.40427,1.60384,1.18269,1.08273,0.00082675,0.00082675,0.00082675
9,102.106,1.32698,1.1179,0.99213,0.92398,0.87469,0.94361,0.48182,1.50012,1.08411,1.04886,0.000802,0.000802,0.000802
10,108.514,1.22318,1.02257,0.97418,0.93704,0.88617,0.95071,0.53582,1.34393,0.91624,1.00678,0.00077725,0.00077725,0.00077725
11,115.104,1.21067,0.94758,0.96575,0.92317,0.8651,0.94822,0.47339,1.56374,1.05274,1.06414,0.0007525,0.0007525,0.0007525
12,121.732,1.21813,0.94328,0.97185,0.93184,0.9126,0.96703,0.6443,1.07799,0.78609,0.94155,0.00072775,0.00072775,0.00072775
13,128.376,1.19534,0.9048,0.96437,0.9294,0.90534,0.96251,0.52285,1.48202,0.89293,1.0363,0.000703,0.000703,0.000703
14,134.97,1.17721,0.87783,0.95408,0.86852,0.8184,0.8491,0.29218,2.25286,1.10201,1.35073,0.00067825,0.00067825,0.00067825
15,141.627,1.1919,0.88007,0.96113,0.94596,0.93486,0.97838,0.69558,0.99848,0.68788,0.92142,0.0006535,0.0006535,0.0006535
16,148.139,1.1376,0.83743,0.94901,0.92612,0.8769,0.94183,0.46303,1.62733,0.89298,1.11594,0.00062875,0.00062875,0.00062875
17,154.659,1.15049,0.82444,0.95841,0.95736,0.93293,0.97886,0.56792,1.37132,0.74947,1.00985,0.000604,0.000604,0.000604
18,161.492,1.13103,0.82142,0.95311,0.95084,0.93372,0.9788,0.71993,0.93682,0.64694,0.91544,0.00057925,0.00057925,0.00057925
19,168.098,1.09757,0.77121,0.93568,0.93704,0.93911,0.97696,0.64304,1.14712,0.68169,0.9563,0.0005545,0.0005545,0.0005545
20,174.666,1.09747,0.76427,0.93533,0.96225,0.94256,0.97936,0.70026,0.99369,0.62656,0.92156,0.00052975,0.00052975,0.00052975
21,191.744,1.10238,0.76232,0.94149,0.96263,0.92703,0.97653,0.65165,1.08799,0.64144,0.94038,0.000505,0.000505,0.000505
22,222.844,1.12001,0.75271,0.94916,0.96804,0.92918,0.98173,0.6094,1.2518,0.6756,0.98007,0.00048025,0.00048025,0.00048025
23,244.964,1.05372,0.71196,0.92648,0.96688,0.94572,0.98291,0.68485,1.0334,0.59523,0.9266,0.0004555,0.0004555,0.0004555
24,261.854,1.05712,0.71352,0.92674,0.96536,0.95098,0.98495,0.66805,1.07135,0.5989,0.93035,0.00043075,0.00043075,0.00043075
25,288.198,1.04447,0.69209,0.92455,0.94263,0.91832,0.96686,0.40008,1.97716,0.83546,1.21419,0.000406,0.000406,0.000406
26,294.529,1.04564,0.69427,0.92566,0.96709,0.95634,0.98344,0.72227,0.90666,0.56343,0.89857,0.00038125,0.00038125,0.00038125
27,302.05,1.03259,0.68294,0.93125,0.97194,0.95213,0.98755,0.74829,0.85173,0.5271,0.89087,0.0003565,0.0003565,0.0003565
28,309.827,1.03873,0.67773,0.91783,0.95761,0.94334,0.98191,0.54299,1.54961,0.6666,1.06207,0.00033175,0.00033175,0.00033175
29,318.99,1.03916,0.65813,0.92593,0.97145,0.95202,0.98557,0.66889,1.09434,0.57077,0.93342,0.000307,0.000307,0.000307
30,327.45,0.99715,0.64539,0.91597,0.96676,0.95281,0.98596,0.71045,0.95653,0.54126,0.9108,0.00028225,0.00028225,0.00028225
31,342.942,1.02788,0.61632,0.93184,0.95547,0.93094,0.9759,0.5009,1.64377,0.70597,1.07887,0.0002575,0.0002575,0.0002575
32,349.006,0.97508,0.58726,0.9182,0.97756,0.94536,0.98639,0.73611,0.92151,0.51848,0.90455,0.00023275,0.00023275,0.00023275
33,355.437,0.91445,0.55797,0.91046,0.97184,0.95593,0.98867,0.73688,0.89789,0.51279,0.899,0.000208,0.000208,0.000208
34,362.055,0.91418,0.54707,0.91283,0.98115,0.95444,0.98676,0.7706,0.79072,0.48308,0.87871,0.00018325,0.00018325,0.00018325
35,368.751,0.9622,0.55538,0.917,0.98176,0.9514,0.98882,0.76119,0.81913,0.48306,0.88151,0.0001585,0.0001585,0.0001585
36,375.374,0.91335,0.53779,0.91036,0.96225,0.96419,0.9874,0.71775,0.97545,0.51239,0.91009,0.00013375,0.00013375,0.00013375
37,381.938,0.87985,0.52884,0.90456,0.97246,0.96042,0.98889,0.75484,0.85678,0.48384,0.88996,0.000109,0.000109,0.000109
38,388.574,0.87521,0.52135,0.90316,0.97445,0.95666,0.98869,0.70864,1.00138,0.51125,0.91375,8.425e-05,8.425e-05,8.425e-05
39,395.034,0.87462,0.51373,0.90286,0.96974,0.9647,0.98823,0.72652,0.94337,0.4929,0.90417,5.95e-05,5.95e-05,5.95e-05
40,401.718,0.873,0.50855,0.90193,0.97576,0.96308,0.98904,0.76336,0.81831,0.46336,0.88197,3.475e-05,3.475e-05,3.475e-05
