sample_id,top20_rank,fp_expected_from_quality_csv,fn_expected_from_quality_csv,fp_reconstructed,fn_reconstructed,tp_reconstructed,affected_classes,primary_reason,all_reasons,manual_check_required,review_status
44000020,1,1,9,1,9,0,open;short;mousebite;spur;copper;pin-hole,low_confidence_miss,class_confusion;localization_iou;low_confidence_miss;pure_miss,True,manual_check_recommended
44000017,2,0,5,0,5,1,open;short;mousebite;spur;copper,low_confidence_miss,low_confidence_miss,False,auto_review_sufficient
44000045,3,1,4,1,4,3,mousebite;spur;copper;short,low_confidence_miss,class_confusion;low_confidence_miss;pure_miss,True,manual_check_recommended
90100010,4,1,4,1,4,8,spur;mousebite;short;open,low_confidence_miss,class_confusion;low_confidence_miss,False,auto_review_sufficient
90100009,5,0,4,0,4,9,short;open;mousebite,low_confidence_miss,class_confusion;low_confidence_miss,False,auto_review_sufficient
90100019,6,0,4,0,4,6,short;mousebite;copper,low_confidence_miss,low_confidence_miss;pure_miss,True,manual_check_recommended
90100059,7,0,4,0,4,2,short;spur;pin-hole,low_confidence_miss,low_confidence_miss;pure_miss,False,auto_review_sufficient
90100066,8,3,3,3,3,3,copper;spur;short,background_false_positive,background_false_positive;low_confidence_miss;pure_miss,True,manual_check_recommended
90100051,9,2,3,2,3,5,short;pin-hole,low_confidence_miss,background_false_positive;low_confidence_miss,True,manual_check_recommended
44000034,10,1,3,1,3,7,mousebite;open;spur,class_confusion,class_confusion;low_confidence_miss;pure_miss,True,manual_check_recommended
44000051,11,1,3,1,3,3,mousebite;copper;pin-hole;short,low_confidence_miss,class_confusion;low_confidence_miss,False,auto_review_sufficient
44000061,12,1,3,1,3,6,pin-hole;mousebite;copper,low_confidence_miss,background_false_positive;class_confusion;low_confidence_miss,True,manual_check_recommended
90100033,13,1,3,1,3,3,short;spur,low_confidence_miss,background_false_positive;localization_iou;low_confidence_miss,True,manual_check_recommended
90100035,14,1,3,1,3,4,short;open;spur,low_confidence_miss,background_false_positive;low_confidence_miss;pure_miss,True,manual_check_recommended
90100044,15,1,3,1,3,2,open;short;pin-hole;mousebite,low_confidence_miss,background_false_positive;low_confidence_miss;pure_miss,True,manual_check_recommended
12100003,16,0,3,0,3,4,open,pure_miss,pure_miss,True,manual_check_recommended
44000025,17,0,3,0,3,5,open;mousebite;spur,low_confidence_miss,low_confidence_miss,False,auto_review_sufficient
44000031,18,0,3,0,3,6,spur;pin-hole,low_confidence_miss,low_confidence_miss;pure_miss,True,manual_check_recommended
44000055,19,0,3,0,3,6,spur;open,low_confidence_miss,class_confusion;low_confidence_miss,False,auto_review_sufficient
90100043,20,0,3,0,3,3,open;short;copper,low_confidence_miss,low_confidence_miss;pure_miss,True,manual_check_recommended
